COD-FAMILIAR-FAM;RENDA-MEDIA;LOCALIDADE;UNIDADE_DE_ATENDMENTO;COD-AGUA-CANALIZADA-FAM;COD-ABASTE-AGUA-DOMIC-FAM;COD-BANHEIRO-DOMIC-FAM;COD-ESCOA-SANITARIO-DOMIC-FAM;COD-DESTINO-LIXO-DOMIC-FAM;COD-ILUMINACAO-DOMIC-FAM;COD-CALCAMENTO-DOMIC-FAM
1;0;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
2;100;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
3;50;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
4;1045;MUCUNA;MUCUNA;1;1;1;2;1;1;1
5;733;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
6;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
7;75;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
8;50;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;2
9;100;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;1
10;66;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
11;500;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
12;50;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
13;139;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
14;0;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;3;1
15;0;ALTO ALEGRE II;ALTO ALEGRE;1;4;1;3;1;1;3
16;416;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
17;0;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;1
18;0;ANTONIO JUSTA;ANTONIO JUSTA;2;4;2;;3;5;3
19;66;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
20;25;ALTO ALEGRE I;ACARACUZINHO;1;1;1;3;1;3;3
21;87;MUCUNA;MUCUNA;1;1;1;1;1;1;1
22;954;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
23;0;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
24;20;ALTO DA MANGUEIRA;ANTONIO JUSTA;2;4;1;3;1;1;1
25;200;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
26;0;MUCUNA;MUCUNA;1;2;1;4;3;1;1
27;0;ANTONIO JUSTA;ANTONIO JUSTA;1;4;1;3;1;3;3
28;80;VIDA NOVA;ANTONIO JUSTA;1;1;1;3;1;1;3
29;100;SANTO SATIRO;ACARACUZINHO;1;1;1;3;2;1;3
30;83;TIMBO;TIMBO;1;1;1;1;1;1;1
31;100;TIMBO;TIMBO;1;1;1;1;1;1;1
32;0;JARDIM MARAVILHA;ACARACUZINHO;1;1;1;3;1;1;1
33;477;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
34;200;TIMBO;TIMBO;1;1;1;1;1;1;1
35;0;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
36;606;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
37;0;ANTONIO JUSTA;ANTONIO JUSTA;1;4;1;3;1;3;1
38;100;LUZARDO VIANA;MUCUNA;2;2;1;3;1;1;3
39;0;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
40;605;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
41;0;TIMBO;TIMBO;1;1;1;1;1;1;1
42;25;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;2;1;1;1
43;500;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
44;0;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;3
45;0;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;1
46;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
47;1100;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
48;6;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
49;0;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
50;234;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
51;17;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;3
52;25;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
53;4;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;4;1;1
54;0;TIMBO;TIMBO;1;1;1;1;1;1;1
55;477;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
56;66;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
57;220;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
